"类别","中文名称","英文名称","Wiki页面","Wiki文件页","原图URL","仓库图片","文件许可","文件页来源","Wiki上传账号","SHA-256","分发状态"
"副武器","CQC-5 战斧","CQC-5 Combat Hatchet","https://helldivers.wiki.gg/wiki/CQC-5_Combat_Hatchet","https://helldivers.wiki.gg/wiki/File:CQC-5_Combat_Hatchet_Secondary_Render.png","https://helldivers.wiki.gg/images/CQC-5_Combat_Hatchet_Secondary_Render.png?eb83de","images/secondary/cqc-5-combat-hatchet.png","CC BY-NC-SA 4.0","未标明","Undeadender","3e6bb2c4a93e114807172afd582859a33738d9776d1c39158d7bb2e46c0b1396","included-cc-by-nc-sa-4.0"
"副武器","GP-20 最后通牒","GP-20 Ultimatum","https://helldivers.wiki.gg/wiki/GP-20_Ultimatum","https://helldivers.wiki.gg/wiki/File:GP-20_Ultimatum_Secondary_Render.png","https://helldivers.wiki.gg/images/GP-20_Ultimatum_Secondary_Render.png?3d51dc","images/secondary/gp-20-ultimatum.png","CC BY-NC-SA 4.0","未标明","Undeadender","fd3e9ca1ab9949d0478b1b172dd955f2ec3c495f22610411ee50154c546b42f2","included-cc-by-nc-sa-4.0"
"副武器","GP-31 榴弹手枪","GP-31 Grenade Pistol","https://helldivers.wiki.gg/wiki/GP-31_Grenade_Pistol","https://helldivers.wiki.gg/wiki/File:GP-31_Grenade_Pistol_Secondary_Render.png","https://helldivers.wiki.gg/images/GP-31_Grenade_Pistol_Secondary_Render.png?4f6aba","images/secondary/gp-31-grenade-pistol.png","CC BY-NC-SA 4.0","未标明","Undeadender","1941e818afae223624576e83dd2234ba24335f8cc9f718981f12cf894426b0dd","included-cc-by-nc-sa-4.0"
"副武器","LAS-58 利爪","LAS-58 Talon","https://helldivers.wiki.gg/wiki/LAS-58_Talon","https://helldivers.wiki.gg/wiki/File:LAS-58_Talon_Secondary_Render.png","https://helldivers.wiki.gg/images/LAS-58_Talon_Secondary_Render.png?8621df","images/secondary/las-58-talon.png","CC BY-NC-SA 4.0","未标明","Undeadender","d8848f5a1b33d603aab5fce36e0f6beffb9dcf192b9af432e79917986b990e29","included-cc-by-nc-sa-4.0"
"副武器","LAS-7 匕首","LAS-7 Dagger","https://helldivers.wiki.gg/wiki/LAS-7_Dagger","https://helldivers.wiki.gg/wiki/File:LAS-7_Dagger_Secondary_Render.png","https://helldivers.wiki.gg/images/LAS-7_Dagger_Secondary_Render.png?bcfb59","images/secondary/las-7-dagger.png","CC BY-NC-SA 4.0","User:Undeadender","PLord","6303bcf238ce9ec38c12a9979bfbbed62efcb15d9c46fde995b67156b86a3713","included-cc-by-nc-sa-4.0"
"副武器","P-11 治疗手枪","P-11 Stim Pistol","https://helldivers.wiki.gg/wiki/P-11_Stim_Pistol","https://helldivers.wiki.gg/wiki/File:P-11_Stim_Pistol_Secondary_Render.png","https://helldivers.wiki.gg/images/P-11_Stim_Pistol_Secondary_Render.png?9d252e","images/secondary/p-11-stim-pistol.png","CC BY-NC-SA 4.0","未标明","Undeadender","ba088009bbe8c5eb06f30d1a13aec9c5a094f584112ab89102037122abdeefc1","included-cc-by-nc-sa-4.0"
"副武器","P-113 裁决","P-113 Verdict","https://helldivers.wiki.gg/wiki/P-113_Verdict","https://helldivers.wiki.gg/wiki/File:P-113_Verdict_Secondary_Render.png","https://helldivers.wiki.gg/images/P-113_Verdict_Secondary_Render.png?2bc2c6","images/secondary/p-113-verdict.png","CC BY-NC-SA 4.0","未标明","Undeadender","16178f6fbc6f6b771cbaee85b66770497f7b082efbf3aeac414b049f05a07e9d","included-cc-by-nc-sa-4.0"
"副武器","P-19 救赎者","P-19 Redeemer","https://helldivers.wiki.gg/wiki/P-19_Redeemer","https://helldivers.wiki.gg/wiki/File:P-19_Redeemer_Secondary_Render.png","https://helldivers.wiki.gg/images/P-19_Redeemer_Secondary_Render.png?cf1205","images/secondary/p-19-redeemer.png","CC BY-NC-SA 4.0","未标明","Undeadender","72d0d79e2688fe24d39ee9889b6ff8141e51bff73c72786bc0f23e5502e26565","included-cc-by-nc-sa-4.0"
"副武器","P-2 和平制造者","P-2 Peacemaker","https://helldivers.wiki.gg/wiki/P-2_Peacemaker","https://helldivers.wiki.gg/wiki/File:P-2_Peacemaker_Secondary_Render.png","https://helldivers.wiki.gg/images/P-2_Peacemaker_Secondary_Render.png?946d17","images/secondary/p-2-peacemaker.png","CC BY-NC-SA 4.0","未标明","Undeadender","734c7ddd2133f1802cc4a013c8a7f9fd41f472c9bf53277d1e388d87fad75591","included-cc-by-nc-sa-4.0"
"副武器","P-33 导弹手枪","P-33 Missile Pistol","https://helldivers.wiki.gg/wiki/P-33_Missile_Pistol","https://helldivers.wiki.gg/wiki/File:P-33_Missile_Pistol_Secondary_Render.png","https://helldivers.wiki.gg/images/P-33_Missile_Pistol_Secondary_Render.png?a1e58d","","Arrowhead","User:Undeadender","Undeadender","","metadata-only"
